name,age,salary,department,city
Alice,-0.7171717171717171,-0.7034068136272544,Engineering,New York
Bob,-0.7676767676767677,-0.7635270541082164,Marketing,Los Angeles
Charlie,,-0.6833667334669339,Engineering,
Alice,-0.7171717171717171,-0.7034068136272544,Engineering,New York
David,-0.6666666666666667,,Sales,Chicago
Eve,-0.7373737373737373,-0.7434869739478958,,Boston
Frank,,-0.7154308617234468,Marketing,
Grace,-0.696969696969697,-0.7314629258517034,Engineering,San Francisco
Bob,-0.7676767676767677,-0.7635270541082164,Marketing,Los Angeles
Henry,-0.6161616161616161,-0.6633266533066132,Sales,
Ivy,-0.797979797979798,-0.7835671342685371,Engineering,Austin
Jack,-0.5656565656565656,-0.6432865731462926,Marketing,Seattle
Kate,1.0,1.0,Sales,
Leo,-1.0,-1.0,Engineering,Detroit
Mia,-0.6363636363636364,-0.6913827655310621,,Denver
