name,age,salary,department,city
Alice,-0.2570563011462135,-0.19038135599436545,Engineering,New York
Bob,-0.3601961750629041,-0.31770646669123404,Marketing,Los Angeles
Charlie,,-0.1479396524287426,Engineering,
Alice,-0.2570563011462135,-0.19038135599436545,Engineering,New York
David,-0.15391642722952287,,Sales,Chicago
Eve,-0.2983122507128897,-0.27526476312561116,,Boston
Frank,,-0.21584637813373916,Marketing,
Grace,-0.21580035157953723,-0.24979974098623745,Engineering,San Francisco
Bob,-0.3601961750629041,-0.31770646669123404,Marketing,Los Angeles
Henry,-0.05077655331283226,-0.10549794886311974,Sales,
Ivy,-0.4220800994129184,-0.3601481702568569,Engineering,Austin
Jack,0.052363320603858336,-0.06305624529749687,Marketing,Seattle
Kate,3.249699412021267,3.4171634470835777,Sales,
Leo,-0.8346395950796808,-0.8185185687655838,Engineering,Detroit
Mia,-0.0920325028795085,-0.16491633385499174,,Denver
