name,age,salary,department,city
Alice,30.0,75000.0,Engineering,New York
Bob,25.0,60000.0,Marketing,Los Angeles
Charlie,32.77272727272727,80000.0,Engineering,Austin
David,35.0,72750.0,Sales,Chicago
Eve,28.0,65000.0,Engineering,Boston
Frank,32.77272727272727,72000.0,Marketing,Austin
Grace,32.0,68000.0,Engineering,San Francisco
Henry,40.0,85000.0,Sales,Austin
Ivy,22.0,55000.0,Engineering,Austin
Jack,45.0,90000.0,Marketing,Seattle
Kate,57.75,107500.0,Sales,Austin
Leo,7.75,37500.0,Engineering,Detroit
Mia,38.0,78000.0,Engineering,Denver
